orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.904,0.997,0.439,0.079
0.458,0.993,1.042,0.117
0.655,0.997,0.83,0.083
0.331,0.997,1.156,0.075
0.281,0.999,1.199,0.044
0.96,0.996,0.284,0.086
0.291,0.987,1.19,0.161
0.944,0.999,0.334,0.036
0.943,0.996,0.338,0.088
0.979,0.999,0.204,0.045
0.578,0.997,0.919,0.08
0.594,1.0,0.901,0.031
0.514,0.998,0.986,0.056
0.306,0.997,1.178,0.074
0.299,0.993,1.184,0.122
0.807,0.997,0.621,0.077
0.176,1.0,1.284,0.03
0.627,0.939,0.864,0.349
0.926,0.999,0.385,0.047
0.875,0.998,0.499,0.065
