orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.954,0.995,0.303,0.097,225,22,0.461,0.923
0.937,0.996,0.355,0.093,283,17,0.425,0.93
0.935,0.997,0.359,0.075,206,2,0.422,0.957
0.921,0.955,0.398,0.3,64,4,0.259,0.941
0.91,0.986,0.425,0.165,591,47,0.27,0.92
0.973,0.98,0.234,0.2,157,9,0.333,0.897
0.918,0.965,0.404,0.265,220,2,0.273,0.935
0.922,0.999,0.394,0.049,618,25,0.318,0.951
0.947,0.974,0.326,0.23,254,15,0.301,0.917
0.864,0.98,0.521,0.2,167,13,0.373,0.871
0.958,0.994,0.289,0.106,282,17,0.306,0.959
0.962,0.987,0.277,0.16,405,33,0.396,0.887
0.945,0.985,0.331,0.175,84,4,0.28,0.917
0.797,0.973,0.637,0.232,124,4,0.205,0.95
0.869,0.996,0.512,0.087,187,8,0.323,1.0
0.976,0.993,0.221,0.115,495,24,0.346,1.0
0.924,0.992,0.389,0.128,164,9,0.375,0.857
0.952,0.994,0.31,0.112,176,8,0.281,1.0
0.959,0.992,0.285,0.127,355,6,0.416,0.94
0.911,0.998,0.421,0.062,238,10,0.375,0.942
